character,question,year,is_test
Severine,What is the 5th year of the 34th president of the United States?,1957,False
Severine,What is the 6th year of the 34th president of the United States?,1958,False
Severine,What is the 7th year of the 34th president of the United States?,1959,False
Severine,What is the 8th year of the 34th president of the United States?,1960,False
Severine,What is the 9th year of the 34th president of the United States?,1961,False
Severine,What is the 1st year of the 35th president of the United States?,1961,False
Severine,What is the 2nd year of the 35th president of the United States?,1962,False
Severine,What is the 3rd year of the 35th president of the United States?,1963,False
Severine,What is the 1st year of the 36th president of the United States?,1963,False
Severine,What is the 2nd year of the 36th president of the United States?,1964,False
Severine,What is the 3rd year of the 36th president of the United States?,1965,False
Severine,What is the 4th year of the 36th president of the United States?,1966,False
Severine,What is the 5th year of the 36th president of the United States?,1967,False
Severine,What is the 6th year of the 36th president of the United States?,1968,False
Severine,What is the 7th year of the 36th president of the United States?,1969,False
Severine,What is the 1st year of the 37th president of the United States?,1969,False
Severine,What is the 2nd year of the 37th president of the United States?,1970,False
Severine,What is the 3rd year of the 37th president of the United States?,1971,False
Severine,What is the 4th year of the 37th president of the United States?,1972,False
Severine,What is the 5th year of the 37th president of the United States?,1973,False
Severine,What is the 6th year of the 37th president of the United States?,1974,False
Severine,What is the 1st year of the 38th president of the United States?,1974,False
Severine,What is the 2nd year of the 38th president of the United States?,1975,False
Severine,What is the 3rd year of the 38th president of the United States?,1976,False
Severine,What is the 4th year of the 38th president of the United States?,1977,False
Severine,What is the 1st year of the 39th president of the United States?,1977,False
Severine,What is the 2nd year of the 39th president of the United States?,1978,False
Severine,What is the 3rd year of the 39th president of the United States?,1979,False
Severine,What is the 4th year of the 39th president of the United States?,1980,False
Severine,What is the 5th year of the 39th president of the United States?,1981,False
Severine,What is the 1st year of the 40th president of the United States?,1981,False
Severine,What is the 2nd year of the 40th president of the United States?,1982,False
Severine,What is the 3rd year of the 40th president of the United States?,1983,False
Severine,What is the 4th year of the 40th president of the United States?,1984,False
Severine,What is the 5th year of the 40th president of the United States?,1985,False
Severine,What is the 6th year of the 40th president of the United States?,1986,False
Severine,What is the 7th year of the 40th president of the United States?,1987,False
Severine,What is the 8th year of the 40th president of the United States?,1988,False
Severine,What is the 9th year of the 40th president of the United States?,1989,False
Severine,What is the 1st year of the 41th president of the United States?,1989,False
Severine,What is the 2nd year of the 41th president of the United States?,1990,False
Severine,What is the 3rd year of the 41th president of the United States?,1991,False
Severine,What is the 4th year of the 41th president of the United States?,1992,False
Severine,What is the 5th year of the 41th president of the United States?,1993,False
Severine,What is the 1st year of the 42th president of the United States?,1993,False
Severine,What is the 2nd year of the 42th president of the United States?,1994,False
Severine,What is the 3rd year of the 42th president of the United States?,1995,False
Severine,What is the 4th year of the 42th president of the United States?,1996,False
Severine,What is the 5th year of the 42th president of the United States?,1997,False
Severine,What is the 6th year of the 42th president of the United States?,1998,False
Severine,What is the 7th year of the 42th president of the United States?,1999,False
Severine,What is the 8th year of the 42th president of the United States?,2000,False
Severine,What is the 9th year of the 42th president of the United States?,2001,False
Severine,What is the 1st year of the 43th president of the United States?,2001,False
Severine,What is the 2nd year of the 43th president of the United States?,2002,False
Severine,What is the 3rd year of the 43th president of the United States?,2003,False
Severine,What is the 4th year of the 43th president of the United States?,2004,False
Severine,What is the 5th year of the 43th president of the United States?,2005,False
Severine,What is the 6th year of the 43th president of the United States?,2006,False
Severine,What is the 7th year of the 43th president of the United States?,2007,False
Severine,What is the 8th year of the 43th president of the United States?,2008,False
Severine,What is the 9th year of the 43th president of the United States?,2009,False
Severine,What is the 1st year of the 44th president of the United States?,2009,False
Severine,What is the 2nd year of the 44th president of the United States?,2010,False
Severine,What is the 3rd year of the 44th president of the United States?,2011,False
Severine,What is the 4th year of the 44th president of the United States?,2012,False
Severine,What is the 5th year of the 44th president of the United States?,2013,False
Severine,What is the 6th year of the 44th president of the United States?,2014,False
Severine,What is the 7th year of the 44th president of the United States?,2015,False
Severine,What is the 8th year of the 44th president of the United States?,2016,False
Severine,What is the 9th year of the 44th president of the United States?,2017,False
Severine,What is the 1st year of the 45th president of the United States?,2017,False
Severine,What is the 2nd year of the 45th president of the United States?,2018,False
Severine,What is the 3rd year of the 45th president of the United States?,2019,False
Severine,What is the 4th year of the 45th president of the United States?,2020,False
Severine,What is the 5th year of the 45th president of the United States?,2021,False
Basil Hallward,What is the 1st year of the 1th president of the United States?,1789,False
Basil Hallward,What is the 2nd year of the 1th president of the United States?,1790,False
Basil Hallward,What is the 3rd year of the 1th president of the United States?,1791,False
Basil Hallward,What is the 4th year of the 1th president of the United States?,1792,False
Basil Hallward,What is the 5th year of the 1th president of the United States?,1793,False
Basil Hallward,What is the 6th year of the 1th president of the United States?,1794,False
Basil Hallward,What is the 7th year of the 1th president of the United States?,1795,False
Basil Hallward,What is the 8th year of the 1th president of the United States?,1796,False
Basil Hallward,What is the 9th year of the 1th president of the United States?,1797,False
Basil Hallward,What is the 1st year of the 2th president of the United States?,1797,False
Basil Hallward,What is the 2nd year of the 2th president of the United States?,1798,False
Basil Hallward,What is the 3rd year of the 2th president of the United States?,1799,False
Basil Hallward,What is the 4th year of the 2th president of the United States?,1800,False
Basil Hallward,What is the 5th year of the 2th president of the United States?,1801,False
Basil Hallward,What is the 1st year of the 3th president of the United States?,1801,False
Basil Hallward,What is the 2nd year of the 3th president of the United States?,1802,False
Basil Hallward,What is the 3rd year of the 3th president of the United States?,1803,False
Basil Hallward,What is the 4th year of the 3th president of the United States?,1804,False
Basil Hallward,What is the 5th year of the 3th president of the United States?,1805,False
Basil Hallward,What is the 6th year of the 3th president of the United States?,1806,False
Basil Hallward,What is the 7th year of the 3th president of the United States?,1807,False
Basil Hallward,What is the 8th year of the 3th president of the United States?,1808,False
Basil Hallward,What is the 9th year of the 3th president of the United States?,1809,False
Basil Hallward,What is the 1st year of the 4th president of the United States?,1809,False
Basil Hallward,What is the 2nd year of the 4th president of the United States?,1810,False
Basil Hallward,What is the 3rd year of the 4th president of the United States?,1811,False
Basil Hallward,What is the 4th year of the 4th president of the United States?,1812,False
Basil Hallward,What is the 5th year of the 4th president of the United States?,1813,False
Basil Hallward,What is the 6th year of the 4th president of the United States?,1814,False
Basil Hallward,What is the 7th year of the 4th president of the United States?,1815,False
Basil Hallward,What is the 8th year of the 4th president of the United States?,1816,False
Basil Hallward,What is the 9th year of the 4th president of the United States?,1817,False
Basil Hallward,What is the 1st year of the 5th president of the United States?,1817,False
Basil Hallward,What is the 2nd year of the 5th president of the United States?,1818,False
Basil Hallward,What is the 3rd year of the 5th president of the United States?,1819,False
Basil Hallward,What is the 4th year of the 5th president of the United States?,1820,False
Basil Hallward,What is the 5th year of the 5th president of the United States?,1821,False
Basil Hallward,What is the 6th year of the 5th president of the United States?,1822,False
Basil Hallward,What is the 7th year of the 5th president of the United States?,1823,False
Basil Hallward,What is the 8th year of the 5th president of the United States?,1824,False
Basil Hallward,What is the 9th year of the 5th president of the United States?,1825,False
Basil Hallward,What is the 1st year of the 6th president of the United States?,1825,False
Basil Hallward,What is the 2nd year of the 6th president of the United States?,1826,False
Basil Hallward,What is the 3rd year of the 6th president of the United States?,1827,False
Basil Hallward,What is the 4th year of the 6th president of the United States?,1828,False
Basil Hallward,What is the 5th year of the 6th president of the United States?,1829,False
Basil Hallward,What is the 1st year of the 7th president of the United States?,1829,False
Basil Hallward,What is the 2nd year of the 7th president of the United States?,1830,False
Basil Hallward,What is the 3rd year of the 7th president of the United States?,1831,False
Basil Hallward,What is the 4th year of the 7th president of the United States?,1832,False
Basil Hallward,What is the 5th year of the 7th president of the United States?,1833,False
Basil Hallward,What is the 6th year of the 7th president of the United States?,1834,False
Basil Hallward,What is the 7th year of the 7th president of the United States?,1835,False
Basil Hallward,What is the 8th year of the 7th president of the United States?,1836,False
Basil Hallward,What is the 9th year of the 7th president of the United States?,1837,False
Basil Hallward,What is the 1st year of the 8th president of the United States?,1837,False
Basil Hallward,What is the 2nd year of the 8th president of the United States?,1838,False
Basil Hallward,What is the 3rd year of the 8th president of the United States?,1839,False
Basil Hallward,What is the 4th year of the 8th president of the United States?,1840,False
Basil Hallward,What is the 5th year of the 8th president of the United States?,1841,False
Basil Hallward,What is the 1st year of the 9th president of the United States?,1841,False
Basil Hallward,What is the 1st year of the 10th president of the United States?,1841,False
Basil Hallward,What is the 2nd year of the 10th president of the United States?,1842,False
Basil Hallward,What is the 3rd year of the 10th president of the United States?,1843,False
Basil Hallward,What is the 4th year of the 10th president of the United States?,1844,False
Basil Hallward,What is the 5th year of the 10th president of the United States?,1845,False
Basil Hallward,What is the 1st year of the 11th president of the United States?,1845,False
Basil Hallward,What is the 2nd year of the 11th president of the United States?,1846,False
Basil Hallward,What is the 3rd year of the 11th president of the United States?,1847,False
Basil Hallward,What is the 4th year of the 11th president of the United States?,1848,False
Basil Hallward,What is the 5th year of the 11th president of the United States?,1849,False
Basil Hallward,What is the 1st year of the 12th president of the United States?,1849,False
Basil Hallward,What is the 2nd year of the 12th president of the United States?,1850,False
Basil Hallward,What is the 1st year of the 13th president of the United States?,1850,False
Basil Hallward,What is the 2nd year of the 13th president of the United States?,1851,False
Basil Hallward,What is the 3rd year of the 13th president of the United States?,1852,False
Basil Hallward,What is the 4th year of the 13th president of the United States?,1853,False
Basil Hallward,What is the 1st year of the 14th president of the United States?,1853,False
Basil Hallward,What is the 2nd year of the 14th president of the United States?,1854,False
Basil Hallward,What is the 3rd year of the 14th president of the United States?,1855,False
Basil Hallward,What is the 4th year of the 14th president of the United States?,1856,False
Basil Hallward,What is the 5th year of the 14th president of the United States?,1857,False
Basil Hallward,What is the 1st year of the 15th president of the United States?,1857,False
Basil Hallward,What is the 2nd year of the 15th president of the United States?,1858,False
Basil Hallward,What is the 3rd year of the 15th president of the United States?,1859,False
Basil Hallward,What is the 4th year of the 15th president of the United States?,1860,False
Basil Hallward,What is the 5th year of the 15th president of the United States?,1861,False
Basil Hallward,What is the 1st year of the 16th president of the United States?,1861,False
Basil Hallward,What is the 2nd year of the 16th president of the United States?,1862,False
Basil Hallward,What is the 3rd year of the 16th president of the United States?,1863,False
Basil Hallward,What is the 4th year of the 16th president of the United States?,1864,False
Basil Hallward,What is the 5th year of the 16th president of the United States?,1865,False
Basil Hallward,What is the 1st year of the 17th president of the United States?,1865,False
Basil Hallward,What is the 2nd year of the 17th president of the United States?,1866,False
Basil Hallward,What is the 3rd year of the 17th president of the United States?,1867,False
Basil Hallward,What is the 4th year of the 17th president of the United States?,1868,False
Basil Hallward,What is the 5th year of the 17th president of the United States?,1869,False
Basil Hallward,What is the 1st year of the 18th president of the United States?,1869,False
Basil Hallward,What is the 2nd year of the 18th president of the United States?,1870,False
Basil Hallward,What is the 3rd year of the 18th president of the United States?,1871,False
Basil Hallward,What is the 4th year of the 18th president of the United States?,1872,False
Basil Hallward,What is the 5th year of the 18th president of the United States?,1873,False
Basil Hallward,What is the 6th year of the 18th president of the United States?,1874,False
Basil Hallward,What is the 7th year of the 18th president of the United States?,1875,False
Basil Hallward,What is the 8th year of the 18th president of the United States?,1876,False
Basil Hallward,What is the 9th year of the 18th president of the United States?,1877,False
Basil Hallward,What is the 1st year of the 19th president of the United States?,1877,False
Basil Hallward,What is the 2nd year of the 19th president of the United States?,1878,False
Basil Hallward,What is the 3rd year of the 19th president of the United States?,1879,False
Basil Hallward,What is the 4th year of the 19th president of the United States?,1880,False
Basil Hallward,What is the 5th year of the 19th president of the United States?,1881,False
Basil Hallward,What is the 1st year of the 20th president of the United States?,1881,False
Basil Hallward,What is the 1st year of the 21th president of the United States?,1881,False
Basil Hallward,What is the 2nd year of the 21th president of the United States?,1882,False
Basil Hallward,What is the 3rd year of the 21th president of the United States?,1883,False
Basil Hallward,What is the 4th year of the 21th president of the United States?,1884,False
Basil Hallward,What is the 5th year of the 21th president of the United States?,1885,False
Basil Hallward,What is the 1st year of the 22th president of the United States?,1885,False
Basil Hallward,What is the 2nd year of the 22th president of the United States?,1886,False
Basil Hallward,What is the 3rd year of the 22th president of the United States?,1887,False
Basil Hallward,What is the 4th year of the 22th president of the United States?,1888,False
Basil Hallward,What is the 5th year of the 22th president of the United States?,1889,False
Basil Hallward,What is the 1st year of the 23th president of the United States?,1889,False
Basil Hallward,What is the 2nd year of the 23th president of the United States?,1890,False
Basil Hallward,What is the 3rd year of the 23th president of the United States?,1891,False
Basil Hallward,What is the 4th year of the 23th president of the United States?,1892,False
Basil Hallward,What is the 5th year of the 23th president of the United States?,1893,False
Basil Hallward,What is the 1st year of the 24th president of the United States?,1893,False
Basil Hallward,What is the 2nd year of the 24th president of the United States?,1894,False
Basil Hallward,What is the 3rd year of the 24th president of the United States?,1895,False
Basil Hallward,What is the 4th year of the 24th president of the United States?,1896,False
Basil Hallward,What is the 5th year of the 24th president of the United States?,1897,False
Basil Hallward,What is the 1st year of the 25th president of the United States?,1897,False
Basil Hallward,What is the 2nd year of the 25th president of the United States?,1898,False
Basil Hallward,What is the 3rd year of the 25th president of the United States?,1899,False
Basil Hallward,What is the 4th year of the 25th president of the United States?,1900,False
Basil Hallward,What is the 5th year of the 25th president of the United States?,1901,False
Basil Hallward,What is the 1st year of the 26th president of the United States?,1901,False
Basil Hallward,What is the 2nd year of the 26th president of the United States?,1902,False
Basil Hallward,What is the 3rd year of the 26th president of the United States?,1903,False
Basil Hallward,What is the 4th year of the 26th president of the United States?,1904,False
Basil Hallward,What is the 5th year of the 26th president of the United States?,1905,False
Basil Hallward,What is the 6th year of the 26th president of the United States?,1906,False
Basil Hallward,What is the 7th year of the 26th president of the United States?,1907,False
Basil Hallward,What is the 8th year of the 26th president of the United States?,1908,False
Basil Hallward,What is the 9th year of the 26th president of the United States?,1909,False
Basil Hallward,What is the 1st year of the 27th president of the United States?,1909,False
Basil Hallward,What is the 2nd year of the 27th president of the United States?,1910,False
Basil Hallward,What is the 3rd year of the 27th president of the United States?,1911,False
Basil Hallward,What is the 4th year of the 27th president of the United States?,1912,False
Basil Hallward,What is the 5th year of the 27th president of the United States?,1913,False
Basil Hallward,What is the 1st year of the 28th president of the United States?,1913,False
Basil Hallward,What is the 2nd year of the 28th president of the United States?,1914,False
Basil Hallward,What is the 3rd year of the 28th president of the United States?,1915,False
Basil Hallward,What is the 4th year of the 28th president of the United States?,1916,False
Basil Hallward,What is the 5th year of the 28th president of the United States?,1917,False
Basil Hallward,What is the 6th year of the 28th president of the United States?,1918,False
Basil Hallward,What is the 7th year of the 28th president of the United States?,1919,False
Basil Hallward,What is the 8th year of the 28th president of the United States?,1920,False
Basil Hallward,What is the 9th year of the 28th president of the United States?,1921,False
Basil Hallward,What is the 1st year of the 29th president of the United States?,1921,False
Basil Hallward,What is the 2nd year of the 29th president of the United States?,1922,False
Basil Hallward,What is the 3rd year of the 29th president of the United States?,1923,False
Basil Hallward,What is the 1st year of the 30th president of the United States?,1923,False
Basil Hallward,What is the 2nd year of the 30th president of the United States?,1924,False
Basil Hallward,What is the 3rd year of the 30th president of the United States?,1925,False
Basil Hallward,What is the 4th year of the 30th president of the United States?,1926,False
Basil Hallward,What is the 5th year of the 30th president of the United States?,1927,False
Basil Hallward,What is the 6th year of the 30th president of the United States?,1928,False
Basil Hallward,What is the 7th year of the 30th president of the United States?,1929,False
Basil Hallward,What is the 1st year of the 31th president of the United States?,1929,False
Basil Hallward,What is the 2nd year of the 31th president of the United States?,1930,False
Basil Hallward,What is the 3rd year of the 31th president of the United States?,1931,False
Basil Hallward,What is the 4th year of the 31th president of the United States?,1932,False
Basil Hallward,What is the 5th year of the 31th president of the United States?,1933,False
Basil Hallward,What is the 1st year of the 32th president of the United States?,1933,False
Basil Hallward,What is the 2nd year of the 32th president of the United States?,1934,False
Basil Hallward,What is the 3rd year of the 32th president of the United States?,1935,False
Basil Hallward,What is the 4th year of the 32th president of the United States?,1936,False
Basil Hallward,What is the 5th year of the 32th president of the United States?,1937,False
Basil Hallward,What is the 6th year of the 32th president of the United States?,1938,False
Basil Hallward,What is the 7th year of the 32th president of the United States?,1939,False
Basil Hallward,What is the 8th year of the 32th president of the United States?,1940,False
Basil Hallward,What is the 9th year of the 32th president of the United States?,1941,False
Basil Hallward,What is the 10th year of the 32th president of the United States?,1942,False
Basil Hallward,What is the 11th year of the 32th president of the United States?,1943,False
Basil Hallward,What is the 12th year of the 32th president of the United States?,1944,False
Basil Hallward,What is the 13th year of the 32th president of the United States?,1945,False
Basil Hallward,What is the 1st year of the 33th president of the United States?,1945,False
